teixit,volta,classe,categoria_5_1,score_5_1,n_rare,tokens_rare,z_runs,flags_5_1
ND_Isabelet,131,CONVERGENT,MODERADA,2.809,1,21,,flag_micro_max
ND_Maria,171,CONVERGENT,MODERADA,1.9085,1,19,,flag_sig_intra
ND_Anelise,39,LEXICA,normal,1.6345,1,6>,,
ND_Anelise,73,LEXICA,normal,2.2469,1,12>,,
ND_Coco liso,101,LEXICA,normal,1.7175,1,311,,
ND_Coco liso,105,LEXICA,normal,1.2734,1,39,,
ND_Dolores,71,LEXICA,normal,2.9271,1,(35),,
ND_Dolores,73,LEXICA,normal,1.8791,1,(37),,
ND_Maria,149,LEXICA,normal,2.5164,1,S,,
ND_Maria,195,LEXICA,normal,2.3884,1,J,,
ND_Tara,31,LEXICA,normal,3.11,1,А,,
ND_Vilno (Hijo),105,LEXICA,normal,2.0898,1,<8,,
ND_Aurea,1,GRAMATICAL,MODERADA,2.5729,0,,,flag_sig_intra
ND_Aurea,3,GRAMATICAL,ALTA,4.6516,0,,,flag_sig_intra|flag_trans_invalides
ND_Aurea,7,GRAMATICAL,ALTA,3.632,0,,,flag_sig_intra|flag_trans_invalides
ND_Aurea,13,GRAMATICAL,MODERADA,2.5701,0,,,flag_sig_intra
ND_Aurea,27,GRAMATICAL,ALTA,5.1066,0,,,flag_sig_intra|flag_trans_invalides
ND_Campesina,29,GRAMATICAL,MODERADA,4.1728,0,,,flag_trans_invalides
ND_Chechee,9,GRAMATICAL,MODERADA,2.5619,0,,,flag_trans_invalides
ND_Chechee,15,GRAMATICAL,CRÍTICA,4.7422,0,,,flag_sig_intra|flag_sig_salt|flag_micro_mean
ND_Chechee,17,GRAMATICAL,MODERADA,4.0437,0,,,flag_micro_mean
ND_Chistrofe Rosa de Navidad,60,GRAMATICAL,MODERADA,2.6664,0,,,flag_sig_salt
ND_Coco liso,1,GRAMATICAL,MODERADA,2.2258,0,,,flag_sig_intra
ND_Coco liso,3,GRAMATICAL,ALTA,4.1904,0,,,flag_sig_intra|flag_trans_invalides
ND_Coco liso,7,GRAMATICAL,MODERADA,3.6609,0,,,flag_sig_intra
ND_Conchita Romero,15,GRAMATICAL,ALTA,4.4252,0,,,flag_sig_intra|flag_macro_surp
ND_Conchita Romero,43,GRAMATICAL,MODERADA,3.9741,0,,,flag_macro_surp
ND_Conchita Romero,117,GRAMATICAL,MODERADA,4.214,0,,,flag_macro_surp
ND_Conchita Romero,173,GRAMATICAL,MODERADA,3.2499,0,,,flag_micro_max
ND_Conchita Romero,177,GRAMATICAL,MODERADA,4.4571,0,,,flag_macro_surp
ND_Demetri pequeño,1,GRAMATICAL,ALTA,5.382,0,,,flag_micro_mean|flag_trans_invalides
ND_Demetri pequeño,25,GRAMATICAL,MODERADA,4.5577,0,,,flag_trans_invalides
ND_Dolores,23,GRAMATICAL,MODERADA,2.8423,0,,,flag_micro_max
