teixit,volta_inici,volta_final,n_voltes,n_convergents,n_gramaticals,n_lexiques,n_cap,frac_gramatical,frac_lexica,score_mitja_5_2,q_valor_5_2,significatiu_FDR_5_2,veredicte,voltes_convergents,tokens_rare_segment
ND_Dolores,45,59,8,6,1,0,1,0.875,0.75,7.0673,0.15584415584415584,False,CONVERGENCIA,47|49|51|53|55|57,<LPL>×1|<L(3)L>×1|<L(5)L>×1|<LPLAPGLPL>×1|<L(3)L3L(3)>×1|(33)×1
ND_Dolores,77,83,4,2,0,1,1,0.5,0.75,6.5602,1.0,False,CONVERGENCIA,79|83,(43)×1|(45)×1|(51)×1
ND_Demetri pequeño,47,55,5,1,1,0,3,0.4,0.2,2.641,0.23104168558714014,False,CONVERGENCIA,51,g×1
ND_Maria,1,19,7,1,6,0,0,1.0,0.143,2.3192,0.23104168558714014,False,CONVERGENCIA,11,213×1
ND_Chistrofe Rosa de Navidad,36,54,10,1,8,0,1,0.9,0.1,3.5547,0.023976023976023976,True,CONVERGENCIA,44,(24)×1
ND_Ruth,1,37,10,1,5,0,4,0.6,0.1,2.7666,0.023976023976023976,True,CONVERGENCIA,35,<5×1
ND_Merche,59,63,3,0,0,1,2,0.0,0.333,2.532,1.0,False,PERFIL_LEXIC,,<GLA>×1
ND_Dolores,15,19,3,0,0,1,2,0.0,0.333,2.0849,1.0,False,PERFIL_LEXIC,,<APG>×1
ND_Renacimiento,1,9,5,0,4,0,1,0.8,0.0,1.481,0.03196803196803197,True,PERFIL_GRAMATICAL,,
ND_Chistrofe Rosa de Navidad,5,32,12,0,10,0,2,0.833,0.0,1.4451,1.0,False,PERFIL_GRAMATICAL,,
ND_Merche,1,17,9,0,8,0,1,0.889,0.0,1.908,0.23104168558714014,False,PERFIL_GRAMATICAL,,
ND_Punto Angelines para blusa,1,18,15,0,3,0,12,0.2,0.0,1.071,1.0,False,PERFIL_GRAMATICAL,,
ND_Isabelet,3,51,25,0,2,0,23,0.08,0.0,0.422,0.23104168558714014,False,PERFIL_GRAMATICAL,,
ND_Demetri grande,1,7,4,0,2,0,2,0.5,0.0,2.3591,0.40359640359640353,False,PERFIL_GRAMATICAL,,
ND_Campesina,1,9,5,0,3,0,2,0.6,0.0,1.641,0.23104168558714014,False,PERFIL_GRAMATICAL,,
ND_Merche,67,85,10,0,5,0,5,0.5,0.0,0.7869,1.0,False,PERFIL_GRAMATICAL,,
ND_Conchita Romero,1,11,6,0,5,0,1,0.833,0.0,1.1663,0.21578421578421578,False,PERFIL_GRAMATICAL,,
ND_Chechee,1,5,3,0,3,0,0,1.0,0.0,2.1754,0.5069216497787926,False,PERFIL_GRAMATICAL,,
ND_Modelo Ros Mari,15,31,9,0,6,0,3,0.667,0.0,0.6887,0.21578421578421578,False,PERFIL_GRAMATICAL,,
ND_Anelise,1,9,3,0,2,0,1,0.667,0.0,1.8947,1.0,False,PERFIL_GRAMATICAL,,
ND_Conchita Romero,133,143,6,0,2,0,4,0.333,0.0,0.925,0.5069216497787926,False,PERFIL_GRAMATICAL,,
ND_Dolores,1,7,4,0,3,0,1,0.75,0.0,1.307,1.0,False,PERFIL_GRAMATICAL,,
ND_Chechee,102,114,7,0,3,0,4,0.429,0.0,0.6964,1.0,False,PERFIL_GRAMATICAL,,
ND_Demetri grande,51,57,4,0,1,0,3,0.25,0.0,1.1866,1.0,False,PERFIL_GRAMATICAL,,
ND_Chechee,73,90,7,0,2,0,5,0.286,0.0,0.6624,1.0,False,PERFIL_GRAMATICAL,,
ND_Chistrofe Rosa de Navidad,168,190,12,0,3,0,9,0.25,0.0,0.355,1.0,False,PERFIL_GRAMATICAL,,
ND_Chistrofe Rosa de Navidad,74,86,7,0,2,0,5,0.286,0.0,0.5852,1.0,False,PERFIL_GRAMATICAL,,
ND_Merche,91,95,3,0,1,0,2,0.333,0.0,1.3494,1.0,False,PERFIL_GRAMATICAL,,
ND_Chistrofe Rosa de Navidad,134,146,7,0,1,0,6,0.143,0.0,0.4961,1.0,False,PERFIL_GRAMATICAL,,
ND_Conchita Romero,21,27,4,0,1,0,3,0.25,0.0,0.8541,1.0,False,PERFIL_GRAMATICAL,,
ND_Isabelet,63,71,5,0,1,0,4,0.2,0.0,0.6585,1.0,False,PERFIL_GRAMATICAL,,
ND_Rosario,11,15,3,0,2,0,1,0.667,0.0,1.0768,0.5786213786213786,False,PERFIL_GRAMATICAL,,
ND_Maria,39,43,3,0,2,0,1,0.667,0.0,1.0312,1.0,False,PERFIL_GRAMATICAL,,
ND_Maria,181,185,3,0,2,0,1,0.667,0.0,0.8372,1.0,False,PERFIL_GRAMATICAL,,
ND_Rosario,37,49,7,0,1,0,6,0.143,0.0,0.3569,0.6143856143856143,False,PERFIL_GRAMATICAL,,
ND_Demetri grande,67,71,3,0,1,0,2,0.333,0.0,0.7878,1.0,False,PERFIL_GRAMATICAL,,
ND_Demetri grande,81,97,9,0,8,0,1,0.889,0.0,0.212,1.0,False,PERFIL_GRAMATICAL,,
ND_Isabelet,169,179,6,0,2,0,4,0.333,0.0,0.3037,1.0,False,PERFIL_GRAMATICAL,,
ND_Maria,239,243,3,0,3,0,0,1.0,0.0,0.4182,1.0,False,PERFIL_GRAMATICAL,,
ND_Tara,11,27,9,0,2,0,7,0.222,0.0,0.121,1.0,False,PERFIL_GRAMATICAL,,
ND_Chistrofe Rosa de Navidad,106,110,3,0,1,0,2,0.333,0.0,0.298,1.0,False,PERFIL_GRAMATICAL,,
ND_Rosario,131,135,3,0,3,0,0,1.0,0.0,-0.0494,1.0,False,PERFIL_GRAMATICAL,,
ND_Campesina,17,21,3,0,0,0,3,0.0,0.0,0.5422,1.0,False,SENSE_SENYAL,,
ND_Demetri pequeño,29,35,4,0,0,0,4,0.0,0.0,0.293,1.0,False,SENSE_SENYAL,,
ND_Maria,51,55,3,0,0,0,3,0.0,0.0,0.2336,1.0,False,SENSE_SENYAL,,
ND_Modelo Ros Mari,51,55,3,0,0,0,3,0.0,0.0,0.1323,1.0,False,SENSE_SENYAL,,
ND_Tara,73,77,3,0,0,0,3,0.0,0.0,0.0543,1.0,False,SENSE_SENYAL,,
ND_Modelo Ros Mari,67,71,3,0,0,0,3,0.0,0.0,-0.0071,1.0,False,SENSE_SENYAL,,
